RegionID,SizeRank,RegionName,RegionType,StateName,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23
102001,0,United States,country,,3175,3184,4258,4065,4578,4328,4057,4847,4248,4907,4918,4676,3461,3820,4459,3625,3851,3078,2436,1983,1499,1635,1529,1738,1142,1213,1397,1152,1153,1630,1919,2060,2010,2040,1923,2240,1601,1834,2729,2993,2765,2959,2597,2466,2194,2188,1984,2917,1702,1669,1978,1802,1854,1905,1517,1507,1422,1325,1299,1394,881,922,1345,1247,1421,1425,1239,1281,1243
394913,1,"New York, NY",msa,NY,137,125,159,153,191,189,160,127,121,152,145,132,130,95,117,137,164,145,126,125,94,149,92,107,83,81,71,56,65,79,116,180,177,213,174,191,117,165,198,183,162,189,168,159,117,146,109,176,145,117,149,176,159,159,120,89,79,75,118,81,52,67,79,57,69,81,76,89,82
753899,2,"Los Angeles, CA",msa,CA,148,188,247,199,201,208,191,214,150,119,139,113,87,98,178,122,128,140,116,93,79,49,52,90,38,34,46,37,32,46,63,37,54,38,97,85,28,69,50,56,43,31,29,16,35,31,51,74,42,32,32,24,30,22,29,19,19,16,22,18,21,28,24,22,34,29,18,17,14
394514,4,"Dallas, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,20,15,14,12,9,12,9
395209,6,"Washington, DC",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15,18,25,30,50,27,45,39,27,28,16
394856,8,"Miami, FL",msa,FL,195,176,255,249,300,343,236,277,232,223,287,276,195,156,212,121,67,58,65,77,61,57,57,57,35,27,26,19,12,29,39,35,44,54,44,74,40,64,121,,,158,161,185,123,112,128,199,95,83,125,64,75,66,49,42,40,40,46,41,26,13,37,25,26,37,32,25,19
394347,9,"Atlanta, GA",msa,GA,33,61,76,80,81,89,134,156,114,69,81,113,48,44,38,28,34,28,35,29,16,21,7,17,9,10,24,22,25,40,23,19,17,14,26,25,41,45,54,31,36,16,13,23,21,43,35,29,14,17,15,33,23,26,19,20,22,12,17,18,15,10,12,19,20,19,21,10,35
394404,10,"Boston, MA",msa,MA,83,55,102,86,95,122,112,92,67,89,57,67,76,85,76,118,155,116,89,111,86,90,109,127,96,119,146,135,99,146,184,174,193,181,163,223,129,156,261,331,276,312,257,294,271,162,175,265,159,135,183,213,176,240,164,172,113,140,131,120,141,85,126,121,163,138,160,122,155
395057,12,"San Francisco, CA",msa,CA,38,17,43,32,51,58,64,44,17,22,22,37,10,10,14,15,26,25,23,23,15,24,18,21,9,13,11,15,5,14,23,17,21,23,34,31,36,36,79,74,,66,62,58,56,63,51,127,25,74,64,56,48,35,25,44,33,33,46,53,18,30,55,41,31,34,25,30,30
394532,14,"Detroit, MI",msa,MI,173,173,190,152,163,152,168,199,141,168,163,129,110,89,110,104,114,43,44,62,73,65,46,45,26,32,27,7,18,30,26,41,56,48,38,53,56,49,85,,81,111,71,65,79,86,65,115,96,71,73,88,66,111,94,104,63,77,51,65,18,24,43,45,39,49,42,43,21
395078,15,"Seattle, WA",msa,WA,59,72,127,103,82,86,62,50,50,60,62,85,110,182,149,99,141,51,41,41,35,20,37,33,22,34,41,23,14,17,23,35,29,17,32,17,27,43,63,58,72,71,48,56,84,51,48,86,49,78,73,42,63,45,19,27,50,41,31,29,16,36,52,43,41,43,33,29,31
395148,18,"Tampa, FL",msa,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,31,55
394998,25,"Portland, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,7,11,13,12,13,14,11,26,16
395045,26,"Sacramento, CA",msa,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
394466,28,"Cincinnati, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,14,9,10,11,12,24,21,16,19,18,15,12,7,30,15,12,10,15,18,10,12,7,9,7,9,12,13,22,32,17,18,24,12,17,20,9,10,8,13,23,13,27,8,9
