RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30
102001,0,United States,country,,3175.0,3184.0,4258.0,4065.0,4578.0,4328.0,4057.0,4847.0,4248.0,4907.0,4918.0,4676.0,3461.0,3820.0,4459.0,3625.0,3851.0,3078.0,2436.0,1983.0,1499.0,1635.0,1529.0,1738.0,1142.0,1213.0,1397.0,1152.0,1153.0,1630.0,1919.0,2060.0,2010.0,2040.0,1923.0,2240.0,1601.0,1834.0,2729.0,2993.0,2765.0,2959.0,2597.0,2466.0,2194.0,2188.0,1984.0,2917.0,1702.0,1669.0,1978.0,1802.0,1854.0,1905.0,1517.0,1507.0,1422.0,1325.0,1299.0,1394.0,881.0,922.0,1345.0,1247.0,1421.0,1425.0,1239.0,1281.0,1243.0
394913,1,"New York, NY",msa,NY,137.0,125.0,159.0,153.0,191.0,189.0,160.0,127.0,121.0,152.0,145.0,132.0,130.0,95.0,117.0,137.0,164.0,145.0,126.0,125.0,94.0,149.0,92.0,107.0,83.0,81.0,71.0,56.0,65.0,79.0,116.0,180.0,177.0,213.0,174.0,191.0,117.0,165.0,198.0,183.0,162.0,189.0,168.0,159.0,117.0,146.0,109.0,176.0,145.0,117.0,149.0,176.0,159.0,159.0,120.0,89.0,79.0,75.0,118.0,81.0,52.0,67.0,79.0,57.0,69.0,81.0,76.0,89.0,82.0
753899,2,"Los Angeles, CA",msa,CA,148.0,188.0,247.0,199.0,201.0,208.0,191.0,214.0,150.0,119.0,139.0,113.0,87.0,98.0,178.0,122.0,128.0,140.0,116.0,93.0,79.0,49.0,52.0,90.0,38.0,34.0,46.0,37.0,32.0,46.0,63.0,37.0,54.0,38.0,97.0,85.0,28.0,69.0,50.0,56.0,43.0,31.0,29.0,16.0,35.0,31.0,51.0,74.0,42.0,32.0,32.0,24.0,30.0,22.0,29.0,19.0,19.0,16.0,22.0,18.0,21.0,28.0,24.0,22.0,34.0,29.0,18.0,17.0,14.0
394514,4,"Dallas, TX",msa,TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,20.0,15.0,14.0,12.0,9.0,12.0,9.0
395209,6,"Washington, DC",msa,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,15.0,18.0,25.0,30.0,50.0,27.0,45.0,39.0,27.0,28.0,16.0
394856,8,"Miami, FL",msa,FL,195.0,176.0,255.0,249.0,300.0,343.0,236.0,277.0,232.0,223.0,287.0,276.0,195.0,156.0,212.0,121.0,67.0,58.0,65.0,77.0,61.0,57.0,57.0,57.0,35.0,27.0,26.0,19.0,12.0,29.0,39.0,35.0,44.0,54.0,44.0,74.0,40.0,64.0,121.0,,,158.0,161.0,185.0,123.0,112.0,128.0,199.0,95.0,83.0,125.0,64.0,75.0,66.0,49.0,42.0,40.0,40.0,46.0,41.0,26.0,13.0,37.0,25.0,26.0,37.0,32.0,25.0,19.0
394347,9,"Atlanta, GA",msa,GA,33.0,61.0,76.0,80.0,81.0,89.0,134.0,156.0,114.0,69.0,81.0,113.0,48.0,44.0,38.0,28.0,34.0,28.0,35.0,29.0,16.0,21.0,7.0,17.0,9.0,10.0,24.0,22.0,25.0,40.0,23.0,19.0,17.0,14.0,26.0,25.0,41.0,45.0,54.0,31.0,36.0,16.0,13.0,23.0,21.0,43.0,35.0,29.0,14.0,17.0,15.0,33.0,23.0,26.0,19.0,20.0,22.0,12.0,17.0,18.0,15.0,10.0,12.0,19.0,20.0,19.0,21.0,10.0,35.0
394404,10,"Boston, MA",msa,MA,83.0,55.0,102.0,86.0,95.0,122.0,112.0,92.0,67.0,89.0,57.0,67.0,76.0,85.0,76.0,118.0,155.0,116.0,89.0,111.0,86.0,90.0,109.0,127.0,96.0,119.0,146.0,135.0,99.0,146.0,184.0,174.0,193.0,181.0,163.0,223.0,129.0,156.0,261.0,331.0,276.0,312.0,257.0,294.0,271.0,162.0,175.0,265.0,159.0,135.0,183.0,213.0,176.0,240.0,164.0,172.0,113.0,140.0,131.0,120.0,141.0,85.0,126.0,121.0,163.0,138.0,160.0,122.0,155.0
395057,12,"San Francisco, CA",msa,CA,38.0,17.0,43.0,32.0,51.0,58.0,64.0,44.0,17.0,22.0,22.0,37.0,10.0,10.0,14.0,15.0,26.0,25.0,23.0,23.0,15.0,24.0,18.0,21.0,9.0,13.0,11.0,15.0,5.0,14.0,23.0,17.0,21.0,23.0,34.0,31.0,36.0,36.0,79.0,74.0,,66.0,62.0,58.0,56.0,63.0,51.0,127.0,25.0,74.0,64.0,56.0,48.0,35.0,25.0,44.0,33.0,33.0,46.0,53.0,18.0,30.0,55.0,41.0,31.0,34.0,25.0,30.0,30.0
394532,14,"Detroit, MI",msa,MI,173.0,173.0,190.0,152.0,163.0,152.0,168.0,199.0,141.0,168.0,163.0,129.0,110.0,89.0,110.0,104.0,114.0,43.0,44.0,62.0,73.0,65.0,46.0,45.0,26.0,32.0,27.0,7.0,18.0,30.0,26.0,41.0,56.0,48.0,38.0,53.0,56.0,49.0,85.0,,81.0,111.0,71.0,65.0,79.0,86.0,65.0,115.0,96.0,71.0,73.0,88.0,66.0,111.0,94.0,104.0,63.0,77.0,51.0,65.0,18.0,24.0,43.0,45.0,39.0,49.0,42.0,43.0,21.0
